DATE,품목명,총반입량,전일,전년,서울청과,농협,중앙청과,동화청과,한국청과,대아청과
2024-05-27,감자,325,0,405,93,0,55,110,66,0
2024-05-25,감자,274,371,429,31,0,40,140,63,0
2024-05-24,감자,371,410,385,59,1,54,161,96,0
2024-05-23,감자,410,466,271,88,2,49,151,120,0
2024-05-22,감자,465,458,330,91,4,82,150,139,0
2024-05-21,감자,458,422,0,87,3,42,167,159,0
2024-05-20,감자,423,0,232,60,27,78,156,101,0
2024-05-18,감자,489,405,392,75,0,108,182,124,0
2024-05-17,감자,405,335,356,80,12,91,153,69,0
2024-05-16,감자,335,374,366,51,5,64,113,102,0
2024-05-15,감자,373,322,394,67,12,77,98,120,0
2024-05-14,감자,323,384,0,60,16,42,114,90,0
2024-05-13,감자,385,0,351,52,0,81,137,114,0
2024-05-11,감자,459,407,254,90,1,110,143,115,0
2024-05-10,감자,406,304,268,98,1,86,139,83,0
2024-05-09,감자,304,335,313,56,8,48,97,95,0
2024-05-08,감자,335,378,329,61,11,72,84,107,0
2024-05-07,감자,378,340,0,69,10,84,124,91,0
2024-05-06,감자,340,0,229,61,22,80,105,72,0
2024-05-04,감자,350,345,375,57,0,85,114,94,0
2024-05-03,감자,344,357,341,51,0,87,106,101,0
2024-05-02,감자,357,342,316,51,12,64,139,91,0
2024-05-01,감자,342,282,316,49,11,53,140,89,0
2024-04-30,감자,282,297,0,34,0,61,117,70,0
2024-04-29,감자,297,0,335,42,0,47,150,58,0
2024-04-27,감자,268,314,295,52,0,41,106,70,0
2024-04-26,감자,314,277,233,26,0,62,151,75,0
2024-04-25,감자,277,294,324,35,0,60,104,78,0
2024-04-24,감자,293,295,310,41,0,76,104,73,0
2024-04-23,감자,294,366,0,49,0,63,103,80,0
2024-04-22,감자,366,0,327,60,0,64,126,116,0
2024-04-20,감자,271,306,335,64,0,55,86,65,0
2024-04-19,감자,307,389,272,43,0,68,120,75,0
2024-04-18,감자,388,287,399,50,0,60,134,145,0
2024-04-17,감자,288,211,266,33,0,45,122,87,0
2024-04-16,감자,212,246,0,13,0,53,86,59,0
2024-04-15,감자,246,0,348,32,0,47,104,63,0
2024-04-13,감자,183,241,294,24,0,51,73,35,0
2024-04-12,감자,242,203,281,33,9,48,88,63,0
2024-04-11,감자,203,308,281,42,0,33,70,58,0
