DATE,품목명,총반입량,전일대비_반입량차이,전일대비_반입량변화율(%)
2024-07-30,토마토,141,-16.0,-10.191082802547772
2024-07-29,토마토,196,55.0,39.00709219858156
2024-07-27,토마토,153,-43.0,-21.93877551020408
2024-07-26,토마토,152,-1.0,-0.6535947712418301
2024-07-25,토마토,124,-28.0,-18.421052631578945
2024-07-24,토마토,146,22.0,17.741935483870968
2024-07-23,토마토,128,-18.0,-12.32876712328767
2024-07-22,토마토,191,63.0,49.21875
2024-07-20,토마토,159,-32.0,-16.75392670157068
2024-07-19,토마토,161,2.0,1.257861635220126
2024-07-18,토마토,169,8.0,4.968944099378882
2024-07-17,토마토,170,1.0,0.591715976331361
2024-07-16,토마토,159,-11.0,-6.470588235294119
2024-07-15,토마토,189,30.0,18.867924528301888
2024-07-13,토마토,163,-26.0,-13.756613756613756
2024-07-12,토마토,146,-17.0,-10.429447852760736
2024-07-11,토마토,143,-3.0,-2.054794520547945
2024-07-10,토마토,125,-18.0,-12.587412587412588
2024-07-09,토마토,171,46.0,36.8
2024-07-08,토마토,178,7.0,4.093567251461988
2024-07-06,토마토,155,-23.0,-12.921348314606742
2024-07-05,토마토,132,-23.0,-14.838709677419354
2024-07-04,토마토,118,-14.0,-10.606060606060606
2024-07-03,토마토,135,17.0,14.40677966101695
2024-07-02,토마토,176,41.0,30.37037037037037
2024-07-01,토마토,214,38.0,21.59090909090909
2024-06-29,토마토,200,-14.0,-6.5420560747663545
2024-06-28,토마토,218,18.0,9.0
2024-06-27,토마토,226,8.0,3.669724770642202
2024-06-26,토마토,211,-15.0,-6.637168141592921
2024-06-25,토마토,196,-15.0,-7.109004739336493
2024-06-24,토마토,223,27.0,13.77551020408163
2024-06-22,토마토,150,-73.0,-32.73542600896861
2024-06-21,토마토,158,8.0,5.333333333333334
2024-06-20,토마토,164,6.0,3.79746835443038
2024-06-19,토마토,196,32.0,19.51219512195122
2024-06-18,토마토,210,14.0,7.142857142857142
2024-06-17,토마토,234,24.0,11.428571428571429
2024-06-15,토마토,154,-80.0,-34.18803418803419
2024-06-14,토마토,191,37.0,24.025974025974026
2024-06-13,토마토,186,-5.0,-2.6178010471204187
2024-06-12,토마토,179,-7.0,-3.763440860215054
2024-06-11,토마토,203,24.0,13.40782122905028
2024-06-10,토마토,228,25.0,12.31527093596059
2024-06-08,토마토,147,-81.0,-35.526315789473685
2024-06-07,토마토,169,22.0,14.965986394557824
2024-06-06,토마토,166,-3.0,-1.7751479289940828
2024-06-05,토마토,178,12.0,7.228915662650602
2024-06-04,토마토,222,44.0,24.719101123595504
2024-06-03,토마토,225,3.0,1.3513513513513513
2024-06-01,토마토,258,33.0,14.666666666666666
2024-05-31,토마토,228,-30.0,-11.627906976744185
2024-05-30,토마토,226,-2.0,-0.8771929824561403
2024-05-29,토마토,240,14.0,6.1946902654867255
2024-05-28,토마토,248,8.0,3.3333333333333335
2024-05-27,토마토,246,-2.0,-0.8064516129032258
2024-05-25,토마토,161,-85.0,-34.552845528455286
2024-05-24,토마토,178,17.0,10.559006211180124
2024-05-23,토마토,127,-51.0,-28.651685393258425
2024-05-22,토마토,138,11.0,8.661417322834646
2024-05-21,토마토,150,12.0,8.695652173913043
2024-05-20,토마토,211,61.0,40.666666666666664
2024-05-18,토마토,127,-84.0,-39.81042654028436
2024-05-17,토마토,149,22.0,17.322834645669293
2024-05-16,토마토,105,-44.0,-29.53020134228188
