DATE,품목명,총반입량,전일,전년,서울청과,농협,중앙청과,동화청과,한국청과,대아청과
2024-09-20,무,1170,0,787,62,0,0,0,12,1096
2024-09-16,무,444,0,474,4,0,0,0,12,429
2024-09-14,무,1040,879,668,56,0,0,0,28,956
2024-09-13,무,878,"1,168",818,19,3,0,0,46,811
2024-09-12,무,1167,"1,149",784,67,3,0,0,23,1075
2024-09-11,무,1148,"1,232",680,46,0,0,0,35,1068
2024-09-10,무,1232,"1,027",0,49,1,0,1,17,1164
2024-09-09,무,1027,0,634,73,0,0,0,33,921
2024-09-07,무,919,"1,167",763,55,0,0,0,34,830
2024-09-06,무,1167,"1,054",918,44,0,0,0,35,1088
2024-09-05,무,1054,850,790,46,1,0,0,37,970
2024-09-04,무,850,942,676,27,1,0,0,12,810
2024-09-03,무,943,"1,051",0,22,0,0,0,0,920
2024-09-02,무,1051,0,840,42,0,0,0,12,997
2024-08-31,무,574,843,307,34,0,1,0,28,511
2024-08-30,무,843,820,553,37,0,0,0,22,784
2024-08-29,무,820,621,713,68,0,0,0,10,742
2024-08-28,무,621,690,733,48,0,0,0,10,563
2024-08-27,무,690,744,0,22,0,0,0,11,657
2024-08-26,무,743,0,345,22,0,0,0,12,710
2024-08-24,무,595,654,647,27,0,0,0,22,546
2024-08-23,무,653,622,754,49,0,0,0,0,605
2024-08-22,무,622,721,667,50,0,0,0,11,561
2024-08-21,무,720,616,716,49,0,1,0,11,660
2024-08-20,무,616,709,0,37,0,1,0,12,566
2024-08-19,무,709,0,469,38,0,2,0,12,657
2024-08-17,무,478,403,525,26,0,0,0,12,440
2024-08-16,무,403,582,693,29,0,0,0,12,362
2024-08-15,무,581,568,678,26,0,0,0,12,544
2024-08-14,무,568,620,692,23,0,0,0,12,533
2024-08-13,무,620,679,0,30,0,2,0,12,576
2024-08-12,무,679,0,538,46,0,0,0,12,621
2024-08-10,무,513,522,722,23,0,0,0,13,476
2024-08-09,무,523,647,729,33,0,0,0,12,477
2024-08-08,무,647,549,684,40,0,0,0,12,595
2024-08-07,무,549,614,"1,015",35,0,0,0,12,502
2024-08-06,무,614,782,0,23,0,0,0,21,570
2024-08-05,무,783,0,0,65,0,0,0,23,694
2024-08-02,무,556,740,441,22,0,0,0,11,522
2024-08-01,무,740,556,472,32,0,0,0,20,688
2024-07-31,무,556,636,515,22,0,0,0,10,524
2024-07-30,무,636,575,0,38,0,0,0,10,588
2024-07-29,무,575,0,407,22,0,0,0,10,543
2024-07-27,무,346,592,332,24,0,0,0,10,312
2024-07-26,무,592,512,554,23,0,0,0,12,557
2024-07-25,무,511,397,503,28,0,0,0,12,472
2024-07-24,무,397,566,483,33,0,0,0,12,352
2024-07-23,무,566,553,0,22,0,0,0,12,532
2024-07-22,무,553,0,593,25,0,0,0,12,516
2024-07-20,무,458,339,660,37,0,0,0,0,421
2024-07-19,무,339,547,490,27,0,0,0,0,312
2024-07-18,무,547,576,479,37,0,0,0,0,510
2024-07-17,무,576,614,486,12,0,0,0,0,564
2024-07-16,무,614,463,0,55,0,0,0,0,559
2024-07-15,무,463,0,210,24,0,0,0,1,438
2024-07-13,무,639,676,334,34,0,0,0,0,605
2024-07-12,무,675,385,500,74,0,0,0,0,602
2024-07-11,무,386,393,421,16,0,0,0,0,369
2024-07-10,무,393,347,552,13,0,0,0,1,379
2024-07-09,무,347,595,0,12,0,0,0,0,335
2024-07-08,무,595,0,545,56,0,0,0,11,528
2024-07-06,무,421,602,418,34,0,0,0,0,387
2024-07-05,무,602,436,458,10,0,0,0,0,592
2024-07-04,무,436,494,398,0,0,0,0,0,436
2024-07-03,무,494,630,542,32,0,0,0,0,462
2024-07-02,무,630,610,0,44,0,5,0,0,581
2024-07-01,무,610,0,293,22,0,0,0,0,588
2024-06-29,무,408,498,449,0,0,1,0,0,407
2024-06-28,무,497,470,891,22,0,1,0,2,473
2024-06-27,무,470,579,508,11,0,0,0,1,458
2024-06-26,무,579,587,583,35,0,5,0,12,527
2024-06-25,무,586,603,0,38,0,0,0,12,537
2024-06-24,무,603,0,477,16,0,5,0,12,570
2024-06-22,무,566,458,438,17,0,0,0,13,536
2024-06-21,무,458,448,451,23,0,5,0,13,417
2024-06-20,무,448,505,519,27,0,0,0,0,421
2024-06-19,무,505,408,464,35,0,5,0,0,465
2024-06-18,무,408,470,0,19,0,0,0,0,389
2024-06-17,무,471,0,554,23,0,0,0,0,447
2024-06-15,무,394,410,381,11,0,0,0,0,383
2024-06-14,무,411,409,516,16,0,0,0,10,384
2024-06-13,무,409,442,436,16,0,0,0,12,381
2024-06-12,무,442,618,630,20,0,0,0,10,412
2024-06-11,무,618,645,0,20,0,0,0,0,598
2024-06-10,무,644,0,566,56,0,0,0,15,574
2024-06-08,무,408,585,397,23,0,0,0,0,385
2024-06-07,무,585,497,475,35,0,0,0,0,550
2024-06-06,무,497,503,661,30,0,0,0,0,467
2024-06-05,무,503,455,677,22,0,2,0,0,479
2024-06-04,무,455,590,0,30,0,0,0,0,425
2024-06-03,무,590,0,278,39,0,0,0,13,538
2024-06-01,무,425,483,381,26,0,0,0,12,388
2024-05-31,무,483,580,645,44,0,0,0,12,427
2024-05-30,무,580,452,506,22,0,0,0,0,558
2024-05-29,무,453,551,581,23,0,0,0,0,429
2024-05-28,무,551,596,0,33,0,0,0,9,509
2024-05-27,무,596,0,379,35,0,0,0,8,553
2024-05-25,무,315,522,551,23,0,0,0,14,278
2024-05-24,무,521,417,564,23,0,0,0,13,486
2024-05-23,무,417,581,549,25,0,0,0,27,365
2024-05-22,무,581,545,915,39,0,0,0,12,530
2024-05-21,무,545,574,0,22,0,0,0,17,506
2024-05-20,무,574,0,360,34,0,0,0,19,521
2024-05-18,무,379,314,552,24,0,0,0,10,345
2024-05-17,무,314,482,566,23,0,0,0,10,281
2024-05-16,무,481,549,567,33,0,0,0,24,425
