DATE,품목명,총반입량,전일,전년,서울청과,농협,중앙청과,동화청과,한국청과,대아청과
2024-05-18,토마토,127,148,232,42,21,51,7,6,0
2024-05-17,토마토,149,105,300,43,25,59,14,7,0
2024-05-16,토마토,105,100,248,37,21,37,5,5,0
2024-05-15,토마토,101,146,350,31,14,44,5,6,0
2024-05-14,토마토,146,199,0,57,24,54,6,5,0
2024-05-13,토마토,198,0,245,66,30,83,11,9,0
2024-05-11,토마토,127,161,210,43,20,52,8,4,0
2024-05-10,토마토,160,100,257,59,21,63,8,10,0
2024-05-09,토마토,101,158,219,34,19,37,7,3,0
2024-05-08,토마토,159,170,304,50,22,64,15,7,0
2024-05-07,토마토,170,276,0,58,27,75,4,6,0
2024-05-06,토마토,276,0,169,106,38,108,13,11,0
2024-05-04,토마토,173,173,236,56,19,81,9,7,0
2024-05-03,토마토,174,138,231,57,28,64,11,13,0
2024-05-02,토마토,138,162,201,43,21,62,7,5,0
2024-05-01,토마토,162,160,376,55,19,62,14,12,0
2024-04-30,토마토,159,206,0,77,0,70,7,6,0
2024-04-29,토마토,206,0,195,77,0,101,17,11,0
2024-04-27,토마토,159,149,212,65,0,77,12,6,0
2024-04-26,토마토,149,124,241,62,0,69,11,7,0
2024-04-25,토마토,124,111,234,63,0,51,5,5,0
2024-04-24,토마토,110,159,402,43,0,47,13,8,0
2024-04-23,토마토,158,199,0,68,0,76,8,7,0
2024-04-22,토마토,199,0,211,84,0,87,17,11,0
2024-04-20,토마토,123,143,182,37,0,70,10,6,0
2024-04-19,토마토,142,107,196,62,0,65,9,7,0
2024-04-18,토마토,108,141,195,53,0,46,2,6,0
2024-04-17,토마토,141,143,328,46,0,77,9,9,0
2024-04-16,토마토,143,203,0,57,0,68,11,7,0
2024-04-15,토마토,204,0,194,82,0,100,10,11,0
2024-04-13,토마토,118,174,224,53,0,53,6,7,0
2024-04-12,토마토,174,134,253,57,31,73,6,7,0
2024-04-11,토마토,134,177,219,60,15,50,4,5,0
2024-04-10,토마토,177,132,314,51,19,90,9,8,0
2024-04-09,토마토,132,184,0,51,20,48,7,6,0
2024-04-08,토마토,183,0,238,53,27,82,12,10,0
2024-04-06,토마토,130,163,178,39,17,59,9,7,0
2024-04-05,토마토,163,96,247,51,23,74,9,6,0
2024-04-04,토마토,97,119,202,36,13,40,2,5,0
2024-04-03,토마토,119,130,312,34,13,58,6,8,0
2024-04-02,토마토,130,182,0,53,19,43,8,7,0
2024-04-01,토마토,182,0,208,54,23,85,9,11,0
2024-03-30,토마토,117,126,166,37,12,55,7,6,0
2024-03-29,토마토,126,91,168,38,17,55,10,6,0
2024-03-28,토마토,91,110,158,37,12,32,4,6,0
2024-03-27,토마토,112,111,267,27,12,55,9,7,0
2024-03-26,토마토,111,182,0,42,17,40,7,5,0
2024-03-25,토마토,182,0,171,60,25,76,11,10,0
2024-03-23,토마토,123,136,149,37,16,55,9,7,0
2024-03-22,토마토,136,121,199,35,21,60,10,10,0
2024-03-21,토마토,120,137,187,47,15,48,4,7,0
2024-03-20,토마토,136,118,275,48,19,54,7,9,0
2024-03-19,토마토,117,187,0,46,19,40,6,7,0
2024-03-18,토마토,187,0,176,64,25,76,10,12,0
2024-03-16,토마토,97,155,148,27,12,47,5,6,0
2024-03-15,토마토,155,91,189,54,23,66,7,5,0
2024-03-14,토마토,92,112,160,37,12,34,3,5,0
2024-03-13,토마토,113,105,277,31,18,50,6,7,0
2024-03-12,토마토,105,182,0,37,18,39,5,6,0
2024-03-11,토마토,182,0,192,60,29,74,8,11,0
2024-03-09,토마토,103,126,171,29,17,45,6,5,0
2024-03-08,토마토,125,86,179,39,18,56,6,7,0
2024-03-07,토마토,86,111,200,35,13,27,5,6,0
2024-03-06,토마토,111,96,265,37,14,47,8,5,0
2024-03-05,토마토,96,168,0,34,16,36,7,3,0
2024-03-04,토마토,168,0,165,53,27,73,8,7,0
2024-03-01,토마토,178,90,170,65,28,73,8,5,0
2024-02-29,토마토,90,97,0,31,15,36,4,4,0
2024-02-28,토마토,97,83,163,36,13,34,9,5,0
2024-02-27,토마토,83,116,229,32,12,31,5,3,0
2024-02-26,토마토,115,0,0,35,19,50,6,6,0
2024-02-24,토마토,73,101,218,16,10,38,5,4,0
2024-02-23,토마토,102,73,132,38,14,41,5,3,0
2024-02-22,토마토,72,84,154,26,12,30,2,3,0
2024-02-21,토마토,85,78,137,22,11,38,9,4,0
2024-02-20,토마토,77,148,208,30,11,29,4,4,0
2024-02-19,토마토,148,0,0,53,25,59,5,6,0
2024-02-17,토마토,74,85,171,22,8,39,3,3,0
2024-02-16,토마토,85,91,118,25,17,35,4,4,0
2024-02-15,토마토,92,157,141,33,15,33,6,4,0
2024-02-14,토마토,157,162,145,55,18,68,12,4,0
2024-02-13,토마토,162,0,199,57,32,60,6,7,0
2024-02-09,토마토,80,111,149,31,9,32,5,3,0
2024-02-08,토마토,112,80,153,39,15,49,3,5,0
2024-02-07,토마토,80,83,120,20,8,37,12,3,0
2024-02-06,토마토,83,119,208,33,13,27,7,3,0
2024-02-05,토마토,119,0,0,39,16,54,5,5,0
2024-02-03,토마토,73,114,216,23,7,32,9,2,0
2024-02-02,토마토,114,69,106,43,16,46,6,3,0
2024-02-01,토마토,70,96,132,24,8,29,5,3,0
2024-01-31,토마토,97,89,115,45,7,29,12,3,0
2024-01-30,토마토,89,112,201,38,10,37,1,3,0
2024-01-29,토마토,112,0,0,38,15,48,8,3,0
2024-01-27,토마토,84,96,203,22,8,42,9,2,0
2024-01-26,토마토,96,65,171,29,13,49,3,2,0
2024-01-25,토마토,65,69,182,31,8,18,4,4,0
2024-01-24,토마토,69,67,0,22,8,31,6,2,0
2024-01-23,토마토,67,81,0,26,7,29,2,3,0
2024-01-22,토마토,81,0,0,22,9,41,4,5,0
2024-01-20,토마토,80,122,220,24,8,38,6,4,0
2024-01-19,토마토,121,76,106,41,14,54,8,5,0
2024-01-18,토마토,76,72,149,30,6,34,3,3,0
2024-01-17,토마토,71,80,100,26,8,29,8,1,0
2024-01-16,토마토,79,94,193,25,11,36,5,3,0
