DATE,품목명,단위,등급명,평균가격,전일,전년
2025-01-21,토마토,5키로상자,특,"18,000","18,381","29,541"
2025-01-21,토마토,10키로상자,특,"39,569","39,569","62,000"
2025-01-20,토마토,5키로상자,특,"18,381",0,"30,145"
2025-01-20,토마토,10키로상자,특,"39,569",0,"62,000"
2025-01-19,토마토,5키로상자,특,0,"21,000","30,000"
2025-01-19,토마토,10키로상자,특,0,"31,667","60,136"
2025-01-18,토마토,5키로상자,특,"21,000","18,041","28,834"
2025-01-18,토마토,10키로상자,특,"31,667","42,447","60,136"
2025-01-17,토마토,5키로상자,특,"18,041","18,984","27,473"
2025-01-17,토마토,10키로상자,특,"42,447","42,182","57,435"
2025-01-16,토마토,5키로상자,특,"18,984","16,000","27,392"
2025-01-16,토마토,10키로상자,특,"42,182","42,182","57,435"
2025-01-15,토마토,5키로상자,특,"16,000","15,524",0
2025-01-15,토마토,10키로상자,특,"42,182","42,750",0
2025-01-14,토마토,5키로상자,특,"15,524","15,556","24,373"
2025-01-14,토마토,10키로상자,특,"42,750","42,750","56,389"
2025-01-13,토마토,5키로상자,특,"15,556",0,"21,222"
2025-01-13,토마토,10키로상자,특,"42,750",0,"56,389"
2025-01-12,토마토,5키로상자,특,0,"14,238","20,556"
2025-01-12,토마토,10키로상자,특,0,"45,923","56,000"
2025-01-11,토마토,5키로상자,특,"14,238","15,246","19,241"
2025-01-11,토마토,10키로상자,특,"45,923","45,923","56,000"
2025-01-10,토마토,5키로상자,특,"15,246",0,0
2025-01-10,토마토,10키로상자,특,"45,923",0,0
2025-01-09,토마토,5키로상자,특,"17,605",0,0
2025-01-09,토마토,10키로상자,특,"45,000",0,0
2025-01-08,토마토,5키로상자,특,"15,000",0,0
2025-01-08,토마토,10키로상자,특,"45,000",0,0
2025-01-07,토마토,5키로상자,특,"13,721",0,0
2025-01-07,토마토,10키로상자,특,"42,600",0,0
2025-01-06,토마토,5키로상자,특,"14,027",0,0
2025-01-06,토마토,10키로상자,특,"42,600",0,0
2025-01-04,토마토,5키로상자,특,"13,475",0,0
2025-01-04,토마토,10키로상자,특,"37,455",0,0
2025-01-03,토마토,5키로상자,특,"15,488",0,0
2025-01-03,토마토,10키로상자,특,"43,220",0,0
2025-01-02,토마토,5키로상자,특,"14,689",0,0
2025-01-02,토마토,10키로상자,특,"36,612",0,0
2025-01-01,토마토,5키로상자,특,0,"14,689",0
2025-01-01,토마토,10키로상자,특,0,"36,612",0
2024-12-31,토마토,5키로상자,특,"14,689","16,723","21,121"
2024-12-31,토마토,10키로상자,특,"36,612","36,612","59,000"
2024-12-30,토마토,5키로상자,특,"16,723",0,"21,409"
2024-12-30,토마토,10키로상자,특,"36,612",0,"64,538"
2024-12-29,토마토,5키로상자,특,0,"16,214","23,192"
2024-12-29,토마토,10키로상자,특,0,"42,429","63,500"
2024-12-28,토마토,5키로상자,특,"16,214","18,324","22,458"
2024-12-28,토마토,10키로상자,특,"42,429","52,697","63,500"
2024-12-27,토마토,5키로상자,특,"18,324","20,000","21,173"
2024-12-27,토마토,10키로상자,특,"52,697","46,000","51,000"
2024-12-26,토마토,5키로상자,특,"20,000","18,409","22,054"
2024-12-26,토마토,10키로상자,특,"46,000","50,333","61,000"
2024-12-25,토마토,5키로상자,특,"18,409","19,008",0
2024-12-25,토마토,10키로상자,특,"50,333","30,000",0
2024-12-24,토마토,5키로상자,특,"19,008","20,430","23,475"
2024-12-24,토마토,10키로상자,특,"30,000","46,333","60,000"
2024-12-23,토마토,5키로상자,특,"20,430",0,"21,788"
2024-12-23,토마토,10키로상자,특,"46,333",0,"60,000"
2024-12-22,토마토,5키로상자,특,0,"18,659","24,082"
2024-12-22,토마토,10키로상자,특,0,"28,545","46,333"
2024-12-21,토마토,5키로상자,특,"18,659","19,994","23,403"
2024-12-21,토마토,10키로상자,특,"28,545","48,000","58,000"
2024-12-20,토마토,5키로상자,특,"19,994","21,000","22,313"
2024-12-20,토마토,10키로상자,특,"48,000","45,000","54,333"
2024-12-19,토마토,5키로상자,특,"21,000","19,267","23,330"
2024-12-19,토마토,10키로상자,특,"45,000","49,600","61,000"
2024-12-18,토마토,5키로상자,특,"19,267","19,720",0
2024-12-18,토마토,10키로상자,특,"49,600","45,000",0
2024-12-17,토마토,5키로상자,특,"19,720","21,799","20,098"
2024-12-17,토마토,10키로상자,특,"45,000","48,333","46,591"
2024-12-16,토마토,5키로상자,특,"21,799",0,"23,000"
2024-12-16,토마토,10키로상자,특,"48,333",0,"63,250"
2024-12-15,토마토,5키로상자,특,0,"22,131","19,522"
2024-12-15,토마토,10키로상자,특,0,"30,286","55,000"
2024-12-14,토마토,5키로상자,특,"22,131","22,155","19,434"
2024-12-14,토마토,10키로상자,특,"30,286","44,000","55,727"
2024-12-13,토마토,5키로상자,특,"22,155","24,106","18,115"
2024-12-13,토마토,10키로상자,특,"44,000","38,571","64,211"
2024-12-12,토마토,5키로상자,특,"24,106","22,114","18,418"
2024-12-12,토마토,10키로상자,특,"38,571","44,957","63,611"
2024-12-11,토마토,5키로상자,특,"22,114","20,032",0
2024-12-11,토마토,10키로상자,특,"44,957","34,944",0
2024-12-10,토마토,5키로상자,특,"20,032",0,0
2024-12-10,토마토,10키로상자,특,"34,944",0,0
2024-12-09,토마토,5키로상자,특,"21,174",0,0
2024-12-09,토마토,10키로상자,특,"46,447",0,0
2024-12-07,토마토,5키로상자,특,"20,975",0,0
2024-12-07,토마토,10키로상자,특,"43,500",0,0
2024-12-06,토마토,5키로상자,특,"23,590",0,0
2024-12-06,토마토,10키로상자,특,"48,833",0,0
2024-12-05,토마토,5키로상자,특,"25,000",0,0
2024-12-05,토마토,10키로상자,특,"46,500",0,0
2024-12-04,토마토,5키로상자,특,"25,270",0,0
2024-12-04,토마토,10키로상자,특,"64,500",0,0
2024-12-03,토마토,5키로상자,특,"27,161",0,0
2024-12-03,토마토,10키로상자,특,"54,897",0,0
2024-12-02,토마토,5키로상자,특,"24,223",0,0
2024-12-02,토마토,10키로상자,특,"63,476",0,0
