DATE,품목명,총반입량,전일,전년,서울청과,농협,중앙청과,동화청과,한국청과,대아청과
2024-05-09,고구마,70,132,115,14,0,3,28,25,0
2024-05-08,고구마,132,100,126,21,0,13,36,62,0
2024-05-07,고구마,100,105,0,5,0,5,51,39,0
2024-05-06,고구마,106,0,79,9,0,5,38,53,0
2024-05-04,고구마,35,95,83,1,0,3,19,12,0
2024-05-03,고구마,94,76,128,8,0,4,42,41,0
2024-05-02,고구마,75,88,81,14,0,6,40,16,0
2024-05-01,고구마,88,55,160,16,0,6,41,25,0
2024-04-30,고구마,56,56,0,6,0,5,3,41,0
2024-04-29,고구마,56,0,103,5,0,0,34,17,0
2024-04-27,고구마,49,94,120,4,0,0,23,22,0
2024-04-26,고구마,93,82,113,8,0,4,32,50,0
2024-04-25,고구마,83,71,98,1,0,0,41,40,0
2024-04-24,고구마,71,91,110,7,0,0,31,33,0
2024-04-23,고구마,91,117,0,8,0,7,42,34,0
2024-04-22,고구마,117,0,70,10,0,9,30,68,0
2024-04-20,고구마,35,94,136,1,0,4,23,7,0
2024-04-19,고구마,94,134,134,7,0,0,36,51,0
2024-04-18,고구마,134,149,141,15,0,7,58,54,0
2024-04-17,고구마,149,120,189,14,0,3,69,63,0
2024-04-16,고구마,120,126,0,17,0,0,47,56,0
2024-04-15,고구마,126,0,112,7,0,9,46,64,0
2024-04-13,고구마,79,100,88,12,0,4,30,34,0
2024-04-12,고구마,99,89,130,9,0,0,47,44,0
2024-04-11,고구마,89,114,121,3,0,8,34,44,0
2024-04-10,고구마,114,127,166,17,0,0,48,49,0
2024-04-09,고구마,127,138,0,9,0,11,40,67,0
2024-04-08,고구마,139,0,129,15,0,13,58,52,0
2024-04-06,고구마,81,147,121,7,0,8,25,41,0
2024-04-05,고구마,147,96,165,11,0,13,53,70,0
2024-04-04,고구마,96,137,142,11,0,12,45,28,0
2024-04-03,고구마,136,132,184,15,0,8,45,69,0
2024-04-02,고구마,134,144,0,5,0,16,51,60,0
2024-04-01,고구마,145,0,78,22,0,4,43,75,0
2024-03-30,고구마,68,116,123,1,0,17,16,35,0
2024-03-29,고구마,116,118,161,15,0,12,41,48,0
2024-03-28,고구마,118,165,163,12,0,15,50,41,0
2024-03-27,고구마,165,133,215,19,0,10,57,79,0
2024-03-26,고구마,134,164,0,6,0,11,53,63,0
2024-03-25,고구마,164,0,97,23,0,16,54,71,0
2024-03-23,고구마,100,111,127,12,0,6,39,43,0
2024-03-22,고구마,111,140,181,8,0,7,38,58,0
2024-03-21,고구마,140,162,135,3,0,23,55,59,0
2024-03-20,고구마,161,147,195,12,0,5,65,80,0
2024-03-19,고구마,148,168,0,17,3,14,38,75,0
2024-03-18,고구마,169,0,120,15,1,18,64,70,0
2024-03-16,고구마,83,145,179,4,0,5,24,50,0
2024-03-15,고구마,145,120,140,11,3,13,41,77,0
2024-03-14,고구마,121,142,195,14,3,16,41,46,0
2024-03-13,고구마,141,141,129,18,0,12,49,63,0
2024-03-12,고구마,141,195,0,6,3,4,53,75,0
2024-03-11,고구마,195,0,118,14,0,20,76,85,0
2024-03-09,고구마,88,187,126,17,0,4,33,34,0
2024-03-08,고구마,187,157,193,13,0,20,68,86,0
2024-03-07,고구마,157,150,178,8,0,10,45,94,0
2024-03-06,고구마,149,161,193,6,0,11,55,78,0
2024-03-05,고구마,161,203,0,20,0,11,69,61,0
2024-03-04,고구마,203,0,130,22,3,28,69,81,0
2024-03-01,고구마,101,115,126,19,0,10,34,39,0
2024-02-29,고구마,114,145,0,23,1,6,28,57,0
2024-02-28,고구마,145,162,135,14,0,16,51,64,0
2024-02-27,고구마,162,189,187,22,0,14,43,83,0
2024-02-26,고구마,189,0,0,25,0,22,72,70,0
2024-02-24,고구마,90,154,124,6,0,8,22,54,0
2024-02-23,고구마,154,104,163,10,0,16,53,75,0
2024-02-22,고구마,103,160,155,10,0,14,26,54,0
2024-02-21,고구마,160,121,196,12,0,16,51,81,0
2024-02-20,고구마,120,159,216,12,0,9,50,50,0
2024-02-19,고구마,158,0,0,21,3,15,76,44,0
2024-02-17,고구마,122,170,149,14,0,12,48,48,0
2024-02-16,고구마,171,159,130,18,0,13,73,66,0
2024-02-15,고구마,158,129,136,16,3,17,43,80,0
2024-02-14,고구마,129,112,162,7,0,7,57,58,0
2024-02-13,고구마,112,0,123,13,0,13,35,51,0
2024-02-08,고구마,104,129,164,16,0,1,35,53,0
2024-02-07,고구마,129,147,171,13,1,13,45,57,0
2024-02-06,고구마,147,266,206,24,0,14,50,59,0
2024-02-05,고구마,267,0,0,27,0,25,104,110,0
2024-02-03,고구마,127,200,167,6,0,4,61,55,0
2024-02-02,고구마,200,188,185,22,0,32,65,81,0
2024-02-01,고구마,187,183,190,11,1,25,60,91,0
2024-01-31,고구마,183,206,190,14,0,26,55,88,0
2024-01-30,고구마,206,222,183,22,0,15,84,85,0
2024-01-29,고구마,222,0,0,23,0,21,82,96,0
2024-01-27,고구마,102,126,127,13,0,6,31,53,0
2024-01-26,고구마,127,125,112,8,0,25,47,46,0
2024-01-25,고구마,125,142,71,9,0,13,45,58,0
2024-01-24,고구마,143,149,0,5,0,10,60,67,0
2024-01-23,고구마,149,196,0,13,0,13,67,56,0
2024-01-22,고구마,197,0,0,19,0,21,71,85,0
2024-01-20,고구마,111,157,56,10,0,8,40,54,0
2024-01-19,고구마,156,185,151,21,1,19,52,64,0
2024-01-18,고구마,185,162,158,22,0,15,53,95,0
2024-01-17,고구마,161,172,182,23,0,28,42,69,0
2024-01-16,고구마,171,187,224,21,0,14,47,90,0
2024-01-15,고구마,187,0,0,29,4,16,57,81,0
2024-01-13,고구마,75,190,133,4,1,6,19,45,0
2024-01-12,고구마,190,159,163,10,0,17,70,93,0
2024-01-11,고구마,159,198,173,17,0,14,41,87,0
2024-01-10,고구마,198,208,130,8,0,28,69,93,0
2024-01-09,고구마,207,243,217,17,0,11,73,107,0
2024-01-08,고구마,242,0,0,24,3,23,90,103,0
2024-01-06,고구마,113,186,161,8,0,6,39,61,0
2024-01-05,고구마,186,234,224,21,0,10,66,89,0
2024-01-04,고구마,234,242,206,22,0,16,88,108,0
2024-01-03,고구마,242,0,219,25,0,31,98,88,0
2023-12-30,고구마,126,180,136,9,1,6,54,56,0
2023-12-29,고구마,181,187,185,11,1,15,72,81,0
2023-12-28,고구마,188,174,197,22,2,16,73,74,0
2023-12-27,고구마,173,123,138,22,0,13,64,75,0
2023-12-26,고구마,123,116,136,12,0,12,45,54,0
2023-12-25,고구마,116,0,0,8,2,16,52,38,0
2023-12-23,고구마,80,103,138,9,0,6,29,37,0
2023-12-22,고구마,103,118,159,4,0,10,36,53,0
2023-12-21,고구마,118,162,161,20,0,8,40,50,0
2023-12-20,고구마,163,143,167,15,0,25,54,68,0
2023-12-19,고구마,143,181,119,8,0,20,52,63,0
2023-12-18,고구마,181,0,0,30,0,19,59,73,0
2023-12-16,고구마,72,124,129,2,2,9,27,32,0
2023-12-15,고구마,124,100,136,10,2,6,46,60,0
2023-12-14,고구마,101,137,170,1,0,6,29,64,0
